"Hard and Soft Credit : Constituent : JHAS ID","Hard and Soft Credit : Constituent : Date of Most Recent Gift","Hard and Soft Credit : Constituent : Date of Most Recent Pledge"
"10000710","12/29/2017",""
"10000718","2/12/2019",""
"10000718","2/12/2019",""
"10000718","2/12/2019",""
"10000718","2/12/2019",""
"10000718","2/12/2019",""
"10000836","1/13/2025",""
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000887","12/31/1995","11/6/1996"
"10000905","","9/25/1989"
"10000905","","9/25/1989"
"10000939","6/16/2001","10/3/1990"
"10001146","1/2/2025","9/21/1999"
"10001392","6/2/2011","3/12/2012"
"10001392","6/2/2011","3/12/2012"
"10001223","7/16/2010",""
"10001223","7/16/2010",""
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
"10001239","5/6/2006","10/9/2003"
