ZIP,CBSA,CBSA Title,State,Locale
07440,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07440,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07442,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07442,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07444,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07444,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07446,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07446,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07450,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07450,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07451,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07451,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07452,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07452,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07456,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07456,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07457,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07457,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07458,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07458,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07460,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07460,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07461,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07461,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07462,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07462,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07463,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07463,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07465,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07465,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07470,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07470,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07474,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07474,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07480,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
